epName,true_slack,pred_slack,diff_slack,true_arr,pred_arr,diff_arr,required,spName,riseFall
sa11_reg[3]/D,16.17828369140625,16.17822265625,6.103515625e-05,497.25689697265625,497.25689697265625,0.0,513.4351196289062,text_in_r_reg[83]/CLK,rise
text_out_reg[77]/D,124.68475341796875,124.6846923828125,6.103515625e-05,397.2870178222656,397.28704833984375,-3.0517578125e-05,521.9717407226562,sa23_reg[0]/CLK,rise
u0_w_reg[0][19]/D,-258.4113464355469,-258.4112854003906,-6.103515625e-05,553.1461791992188,553.1463012695312,-0.0001220703125,294.7350158691406,u0_w_reg[3][15]/CLK,fall
u0_w_reg[1][17]/D,-83.49993896484375,-83.5,6.103515625e-05,543.9609375,543.9609985351562,-6.103515625e-05,460.46099853515625,u0_w_reg[3][15]/CLK,fall
u0_w_reg[1][24]/D,-266.78912353515625,-266.7891845703125,6.103515625e-05,579.11328125,579.1133422851562,-6.103515625e-05,312.32415771484375,u0_w_reg[3][16]/CLK,fall
text_out_reg[40]/D,-240.30111694335938,-240.30105590820312,-6.103515625e-05,536.62890625,536.6287841796875,0.0001220703125,296.3277282714844,sa20_reg[2]/CLK,rise
u0_w_reg[0][5]/D,-41.691314697265625,-41.691375732421875,6.103515625e-05,535.022705078125,535.0227661132812,-6.103515625e-05,493.3313903808594,u0_w_reg[3][25]/CLK,rise
sa00_reg[5]/D,-79.26885986328125,-79.268798828125,-6.103515625e-05,593.7373657226562,593.7371826171875,0.00018310546875,514.4683837890625,sa11_reg[7]/CLK,fall
sa20_reg[1]/D,344.31402587890625,344.31396484375,6.103515625e-05,150.74598693847656,150.74598693847656,0.0,495.0599670410156,u0_w_reg[0][9]/CLK,rise
u0_w_reg[0][11]/D,11.79693603515625,11.796875,6.103515625e-05,545.8880615234375,545.8881225585938,-6.103515625e-05,557.6849975585938,u0_w_reg[3][3]/CLK,rise
text_out_reg[101]/D,50.7103271484375,50.71026611328125,6.103515625e-05,464.339599609375,464.339599609375,0.0,515.0498657226562,sa33_reg[7]/CLK,rise
u0_w_reg[2][22]/D,-290.32843017578125,-290.3284912109375,6.103515625e-05,552.5439453125,552.5440673828125,-0.0001220703125,262.215576171875,u0_w_reg[3][15]/CLK,rise
text_out_reg[67]/D,13.599791526794434,13.5997314453125,6.008148193359375e-05,545.529296875,545.5293579101562,-6.103515625e-05,559.1290893554688,sa30_reg[7]/CLK,rise
text_out_reg[111]/D,0.9577329754829407,0.957763671875,-3.069639205932617e-05,482.5569152832031,482.55694580078125,-3.0517578125e-05,483.51470947265625,sa22_reg[3]/CLK,rise
u0_w_reg[1][15]/D,-48.98516845703125,-48.985198974609375,3.0517578125e-05,553.7677001953125,553.7676391601562,6.103515625e-05,504.7824401855469,u0_w_reg[3][3]/CLK,fall
text_out_reg[39]/D,-47.575408935546875,-47.575439453125,3.0517578125e-05,552.4136352539062,552.4136352539062,0.0,504.83819580078125,sa31_reg[7]/CLK,rise
text_out_reg[18]/D,-73.84408569335938,-73.8441162109375,3.0517578125e-05,556.2177124023438,556.2177734375,-6.103515625e-05,482.3736572265625,sa10_reg[1]/CLK,rise
sa00_reg[6]/D,18.248687744140625,18.2486572265625,3.0517578125e-05,420.4432373046875,420.4432067871094,3.0517578125e-05,438.6918640136719,text_in_r_reg[126]/CLK,rise
text_out_reg[29]/D,-30.687591552734375,-30.6876220703125,3.0517578125e-05,467.3033447265625,467.3034362792969,-9.1552734375e-05,436.6158142089844,sa03_reg[1]/CLK,rise
u0_w_reg[2][4]/D,-123.32257080078125,-123.32260131835938,3.0517578125e-05,567.8714599609375,567.8716430664062,-0.00018310546875,444.5490417480469,u0_w_reg[3][25]/CLK,fall
u0_w_reg[3][13]/D,-281.48321533203125,-281.4832458496094,3.0517578125e-05,562.5382080078125,562.5382080078125,0.0,281.0549621582031,u0_w_reg[3][3]/CLK,rise
sa01_reg[5]/D,57.28289794921875,57.282867431640625,3.0517578125e-05,427.15496826171875,427.1549377441406,3.0517578125e-05,484.43780517578125,u0_w_reg[1][29]/CLK,fall
sa21_reg[3]/D,47.95477294921875,47.954742431640625,3.0517578125e-05,431.853515625,431.853515625,0.0,479.8082580566406,text_in_r_reg[75]/CLK,rise
text_out_reg[30]/D,-56.26318359375,-56.263214111328125,3.0517578125e-05,469.25909423828125,469.2590637207031,3.0517578125e-05,412.995849609375,sa03_reg[1]/CLK,rise
u0_w_reg[1][2]/D,-232.22720336914062,-232.2271728515625,-3.0517578125e-05,562.886962890625,562.886962890625,0.0,330.6597900390625,u0_w_reg[3][25]/CLK,fall
